molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL597176,Nc1ccc2c(c1)/C(=C\c1ccc(Br)o1)C(=O)N2,66000.0,inactive
CHEMBL596974,CCN(CC)c1ccc(/C=C2/C(=O)Nc3ccc(N)cc32)cc1,1000.0,active
CHEMBL608424,COc1ccc(/C=C2/C(=O)Nc3ccc(N)cc32)cc1,63000.0,inactive
CHEMBL591696,COc1ccc(/C=C2\C(=O)Nc3ccc(N)cc32)cc1,5300.0,intermediate
CHEMBL597181,Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(N)cc32)[nH]1,300.0,active
CHEMBL232144,Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2,460.0,active
CHEMBL603491,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C\c1ccc(-c2ccsc2)o1,78000.0,inactive
CHEMBL601232,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C\c1ccc(-c2ccoc2)o1,12000.0,inactive
CHEMBL602074,Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(-c4cccnc4)cc32)[nH]1,580.0,active
CHEMBL602073,Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(-c4occc4C)cc32)[nH]1,1100.0,intermediate
CHEMBL601871,Cn1nccc1-c1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2,20000.0,inactive
CHEMBL599809,O=C1Nc2ccc(-c3ccco3)cc2/C1=C/c1ccc[nH]1,40000.0,inactive
CHEMBL607581,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C\c1ccc(Br)o1,22000.0,inactive
CHEMBL599808,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C/c1c[nH]c2ccccc12,7500.0,intermediate
CHEMBL599807,Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]1,1400.0,intermediate
CHEMBL89483,Cc1ccc2c(c1)/C(=C/c1[nH]c(C)cc1C)C(=O)N2,8000.0,intermediate
CHEMBL233373,Cc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2,66000.0,inactive
CHEMBL606334,COc1cccc2c1NC(=O)/C2=C\c1[nH]c(C)cc1C,5500.0,intermediate
CHEMBL597345,COc1ccc2c(c1)/C(=C/c1[nH]c(C)cc1C)C(=O)N2,4100.0,intermediate
CHEMBL605000,Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(OC(F)(F)F)cc32)[nH]1,2000.0,intermediate
CHEMBL599224,CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1,10000.0,inactive
CHEMBL599428,Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2,10000.0,inactive
CHEMBL597754,CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2,10000.0,inactive
CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,3200.0,intermediate
CHEMBL598626,CC(C)(C)c1cc(NC(=O)c2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(-c2ccccc2)n1,202.0,active
CHEMBL602123,O=C(Nc1cc(Oc2cccc3[nH]c(=O)[nH]c23)c(F)c(F)c1F)c1cccc(OC(F)(F)F)c1,237.0,active
CHEMBL597592,CC(C)(C)c1cc(NC(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(-c2ccccc2)n1,698.0,active
CHEMBL1230607,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,10000.0,inactive
CHEMBL604712,CC(C)(C)C(=O)N1Cc2c(NC(=O)c3cc(F)cc(F)c3)n[nH]c2C1(C)C,10000.0,inactive
CHEMBL1094408,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,10000.0,inactive
