,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
463,CHEMBL3797895,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCC1,active,412.4650000000003,4.009720000000003,2.0,7.0,7.0
464,CHEMBL3799523,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN(C)C,active,400.45400000000024,3.8656200000000025,2.0,7.0,8.154901959985743
465,CHEMBL3799264,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN(C)C,active,386.4270000000002,3.475520000000002,2.0,7.0,6.455931955649724
466,CHEMBL3799756,CNCCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,active,386.42700000000013,3.5234200000000016,3.0,7.0,7.638272163982407
467,CHEMBL3800408,CNCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,active,372.40000000000015,3.133320000000001,3.0,7.0,7.0
468,CHEMBL3798215,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN,active,372.4000000000002,3.2627200000000007,3.0,7.0,7.318758762624412
469,CHEMBL3797288,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN,active,358.37300000000016,2.8726200000000004,3.0,7.0,6.886056647693163
470,CHEMBL3800327,COc1cc2ncnc(Nc3cccc4[nH]ncc34)c2cc1OC,active,321.34000000000015,3.2669000000000015,2.0,6.0,6.853871964321762
471,CHEMBL3798986,COc1cc2ncnc(Nc3ccc4[nH]ncc4c3)c2cc1OC,active,321.34000000000015,3.2669000000000015,2.0,6.0,6.221848749616356
472,CHEMBL3800021,COc1cc2ncnc(Nc3ccc4cn[nH]c4c3)c2cc1OC,active,321.34000000000015,3.2669000000000015,2.0,6.0,6.552841968657781
473,CHEMBL3797215,COc1cc2ncnc(Nc3cccc4cn[nH]c34)c2cc1OC,intermediate,321.34000000000015,3.2669000000000006,2.0,6.0,5.481486060122113
474,CHEMBL3798102,COc1cc2ncnc(Nc3cccc4[nH]cnc34)c2cc1OC,intermediate,321.34000000000015,3.2669000000000015,2.0,6.0,5.366531544420414
475,CHEMBL2333995,COc1cc2ncnc(Nc3ccc4[nH]cnc4c3)c2cc1OC,inactive,321.34000000000015,3.2669000000000015,2.0,6.0,4.522878745280337
476,CHEMBL3799979,COc1cc2ncnc(Nc3cccc4[nH]ccc34)c2cc1OC,intermediate,320.35200000000015,3.871900000000002,2.0,5.0,5.040958607678906
477,CHEMBL3799035,COc1cc2ncnc(Nc3ccc4cc[nH]c4c3)c2cc1OC,intermediate,320.35200000000015,3.871900000000002,2.0,5.0,5.769551078621726
478,CHEMBL3798019,COc1cc2ncnc(Nc3cccc(C(F)F)c3)c2cc1OC,intermediate,331.3220000000001,4.328200000000003,1.0,5.0,5.5376020021010435
479,CHEMBL3800128,COc1cc2ncnc(Nc3cccc(NS(C)(=O)=O)c3)c2cc1OC,intermediate,374.4220000000002,2.762100000000001,2.0,7.0,5.113509274827518
480,CHEMBL94191,COc1cc2ncnc(Nc3ccccc3)c2cc1OC,intermediate,281.31500000000005,3.390600000000002,1.0,5.0,5.769551078621726
481,CHEMBL1983268,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,active,560.6490000000001,5.026900000000005,3.0,6.0,6.405607449624573
482,CHEMBL3805771,CCN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3)cc2C(F)(F)F)CC1,active,580.6550000000003,5.304000000000004,3.0,6.0,8.154901959985743
483,CHEMBL3806189,CN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3F)cc2C(F)(F)F)CC1,active,584.6180000000003,5.0530000000000035,3.0,6.0,9.0
484,CHEMBL3818247,CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,inactive,461.48200000000014,3.323500000000002,0.0,9.0,4.522878745280337
485,CHEMBL3823212,Cc1ccc(-c2nn(CCN3CCC(N(C)C)CC3)c3ncnc(N)c23)cc1,intermediate,379.5120000000001,2.4099200000000005,1.0,7.0,5.181510177795786
486,CHEMBL3823849,Cc1ccc(-c2nn(CCN3CCC(CN(C)C)CC3)c3ncnc(N)c23)cc1,inactive,393.53900000000016,2.65752,1.0,7.0,5.0
487,CHEMBL3822591,Cc1ccc(-c2nn(CCN3CCC(CCN(C)C)CC3)c3ncnc(N)c23)cc1,inactive,407.5660000000002,3.047620000000001,1.0,7.0,5.0
488,CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,active,281.363,3.1389200000000006,1.0,5.0,7.958607314841775
489,CHEMBL3823861,CN(C)CC1CCN(CCn2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)CC1,active,419.53700000000026,2.2253999999999987,2.0,8.0,6.539102157243452
490,CHEMBL3824089,COc1cc(-c2nn(CCN3CCC(N(C)C)CC3)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,inactive,510.6430000000003,3.4571000000000014,2.0,10.0,5.0
491,CHEMBL3827178,C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl,active,522.4400000000002,5.699800000000005,2.0,6.0,7.0
492,CHEMBL3735648,CC1(C)c2cc(C3CCN(CC4CCOCC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,active,467.61300000000017,5.5158800000000054,1.0,4.0,8.795880017344075
493,CHEMBL1738797,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,active,482.62800000000027,4.773280000000004,1.0,5.0,8.318758762624412
494,CHEMBL3961612,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-c4noc(-c5cccnc5)n4)c3)cc2C(F)(F)F)CC1,active,556.976,5.470500000000004,1.0,7.0,8.136677139879543
495,CHEMBL3915551,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-c4nnc(-c5cccnc5)o4)c3)cc2C(F)(F)F)CC1,active,556.976,5.470500000000004,1.0,7.0,6.860750782428393
496,CHEMBL3985315,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-c4nc(-c5cccnc5)no4)c3)cc2C(F)(F)F)CC1,active,556.976,5.470500000000004,1.0,7.0,7.906578314837765
497,CHEMBL3925190,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-c4nc(-c5cccnc5)co4)c3)cc2C(F)(F)F)CC1,active,555.988,6.075500000000004,1.0,6.0,7.669586226650809
498,CHEMBL3952889,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-c4cnc(-c5cccnc5)o4)c3)cc2C(F)(F)F)CC1,active,555.988,6.075500000000004,1.0,6.0,7.7121982700697735
499,CHEMBL3916184,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1,active,512.9630000000002,5.153300000000004,1.0,4.0,8.602059991327963
500,CHEMBL3943036,CN1CCN(Cc2ccc(NC(=O)c3cccc(-c4noc(-c5cccnc5)n4)c3)cc2C(F)(F)F)CC1,active,522.5310000000001,4.817100000000004,1.0,7.0,7.747146969020107
501,CHEMBL3972633,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-c1noc(-c2cccnc2)n1,active,536.5580000000002,5.125520000000005,1.0,7.0,6.96818772866963
502,CHEMBL3913553,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-c4noc(-c5ccncc5)n4)c3)cc2C(F)(F)F)CC1,active,556.976,5.470500000000004,1.0,7.0,7.575118363368933
503,CHEMBL3961567,COc1ccc(-c2nc(-c3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3Cl)no2)cn1,active,587.0020000000002,5.479100000000004,1.0,8.0,6.466100899203405
